Startup,Caixa,ReceitaBase,Reputacao,Moral,ScoreFinal
AlphaLabs,120999,58,768,68,92,79,70,29
Startup,Caixa,ReceitaBase,Reputacao,Moral,ScoreFinal
BetaTech,184113,97,7665,56,93,78,81,58
AlphaLabs,44018,55,766,67,85,74,55,04
BetaTech,100876,28,7661,04,85,81,67,05
AlphaLabs,146058,13,772,30,100,88,79,10
BetaTech,222989,11,7657,62,86,90,87,96
AlphaLabs,93980,62,762,06,85,74,62,54
BetaTech,136428,86,7670,88,92,78,74,08
AlphaLabs,5142,99,722,07,63,82,43,50
BetaTech,9927,55,7223,18,66,84,47,39
AlphaLabs,67193,34,723,53,76,82,57,36
BetaTech,42220,38,7238,56,73,84,54,69
AlphaLabs,67193,34,723,53,76,82,57,36
BetaTech,96994,68,7221,04,69,77,59,75
